ThgTheReal;2026-03-25;Game Finished.
Behrchen69;2026-03-25;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Behrchen69;2026-03-25;Map rebuild
ThgTheReal;2026-03-25;Roundbased
ThgTheReal;2026-03-25;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
ThgTheReal;2026-03-25;small GlobalVariables addons
Fischlord-rgb;2026-03-25;health bar fix2
Fischlord-rgb;2026-03-25;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Fischlord-rgb;2026-03-25;healthbar fix
Behrchen69;2026-03-25;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Behrchen69;2026-03-25;Added sound effects
Fischlord-rgb;2026-03-25;healthbar
Behrchen69;2026-03-25;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Behrchen69;2026-03-25;Fix Textutres
ThgTheReal;2026-03-25;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
ThgTheReal;2026-03-25;Orgenising + small fixes + world build
Behrchen69;2026-03-25;Background Music added
Behrchen69;2026-03-25;New Assets
ThgTheReal;2026-03-24;Communism Rats added. Patrol of Rats fixed
ThgTheReal;2026-03-20;grafical fixes. player and enemie hit color
ThgTheReal;2026-03-19;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
ThgTheReal;2026-03-19;better healthbar
Fischlord-rgb;2026-03-19;campfire fix
ThgTheReal;2026-03-19;layer fiexes
Fischlord-rgb;2026-03-19;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
ThgTheReal;2026-03-19;attack animation added with cooldown worldmap texzure changed
Fischlord-rgb;2026-03-19;barrel
ThgTheReal;2026-03-19;worldFirxes
ThgTheReal;2026-03-19;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
ThgTheReal;2026-03-19;RatBarrels,spawn ratbarrels,rat
Fischlord-rgb;2026-03-19;finally fix campfire
Fischlord-rgb;2026-03-19;Heal Station
ThgTheReal;2026-03-18;better texzure added
ThgTheReal;2026-03-18;Stamina added + damage and health
ThgTheReal;2026-03-12;Enemie not walkin fix
ThgTheReal;2026-03-12;Enemie Texture added
Fischlord-rgb;2026-03-12;New animation Campfire
Behrchen69;2026-03-12;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
ThgTheReal;2026-03-12;Update Player.tscn
Behrchen69;2026-03-12;enemy sprite
ThgTheReal;2026-03-12;animation edited
Behrchen69;2026-03-12;animation.tres
Behrchen69;2026-03-12;pushFix
Behrchen69;2026-03-12;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Behrchen69;2026-03-12;texture
ThgTheReal;2026-03-12;debuging
Behrchen69;2026-03-12;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Behrchen69;2026-03-12;playeert sprite,hitbox and climb rays adjusted
Fischlord-rgb;2026-03-12;Campfire
Fischlord-rgb;2026-03-12;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
ThgTheReal;2026-03-12;Ordnermanagement
Fischlord-rgb;2026-03-12;world verbesserung
ThgTheReal;2026-03-12;tilemap fixed
ThgTheReal;2026-03-05;Attack start
ThgTheReal;2026-03-05;Enemie fixed. new teture world
ThgTheReal;2026-02-05;Climbing Fixed
Behrchen69;2026-02-05;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Behrchen69;2026-02-05;Worldmap better
ThgTheReal;2026-02-05;Update CatPlayer.tscn
ThgTheReal;2026-02-05;stamina added
Behrchen69;2026-02-05;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Behrchen69;2026-02-05;Texture: Worlmap
ThgTheReal;2026-02-05;Small Bug fixes with player animation
ThgTheReal;2026-02-05;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
ThgTheReal;2026-02-05;Stamina Start
Fischlord-rgb;2026-02-05;enemies
ThgTheReal;2026-02-05;Small fixes
ThgTheReal;2026-01-29;Cooler clouds
ThgTheReal;2026-01-29;Better Clouds
ThgTheReal;2026-01-29;CloudMovement
ThgTheReal;2026-01-22;Update World.tscn
ThgTheReal;2026-01-22;Merge branch 'main' of https://github.com/ThgTheReal/info-game-fr
Fischlord-rgb;2026-01-22;aniamtion player und mincrafft
ThgTheReal;2026-01-22;Cloud try
ThgTheReal;2026-01-15;Climbing
ThgTheReal;2026-01-15;für jannik https://www.google.com/search?client=firefox-b-d&hs=1YAp&sca_esv=23d9354b2618c32b&channel=entpr&udm=2&fbs=ADc_l-YGrpJMQtvjQ6h14rj-dfIrbPkd_Upq68wJVnEIgo2Pwxu679PACFfTKv4n_1_FsyWcmsJ_9bzoaht0GJmpTAK6EUhXKyXhB5BaMxx7N7PXnjT6vetkPdmJCHpPkOvZ-28oQ58--U1IOS8BFzW_Bar3fApOnlzuOI_bzr8pFbD32ZIfD0Rdg4B4GNAP-tMHdDrDvR42&q=cat+pixelart+all+animations&sa=X&ved=2ahUKEwjlyoqI2o2SAxVjcfEDHTr2GZcQtKgLegQIGhAB&biw=1920&bih=947&dpr=1&aic=0#sv=CAMSVhoyKhBlLWtFd2l0ell2ZVhyOHJNMg5rRXdpdHpZdmVYcjhyTToOLWJPcGRLZDVlYS1QRU0gBCocCgZtb3NhaWMSEGUta0V3aXR6WXZlWHI4ck0YADABGAcg6K-d-g8wAkoKCAIQAhgCIAIoAg
Behrchen69;2026-01-15;Un-Clear
ThgTheReal;2026-01-15;Update Player.tscn
ThgTheReal;2026-01-15;Update magic_popup.gd
ThgTheReal;2026-01-15;u
ThgTheReal;2026-01-09;Magi small fix
ThgTheReal;2026-01-09;Magie mit M
ThgTheReal;2026-01-08;Simple movment camera
ThgTheReal;2026-01-08;Fist Test
ThgTheReal;2026-01-08;Initial commit
